userID,comment,history_info,quality_control,recom_transfer,recom_reexam,isMeasureEnable,report_preview,markers,disease,lesion
USER_5285abcab9d90a98ecc8a8db078d9acb4,false,true,false,false,true,true,false,true,true,false
USER_2c93d92aa19c9d579d09d98ba999daa4f,false,false,true,true,true,true,false,false,true,true
USER_7399ba59aadce34499ad2bb9d8a9ab2c8,false,true,false,false,false,true,true,false,false,false
USER_3add9c2eb9abaada1698d989cd47d81bc,true,false,false,false,true,false,true,false,true,true
USER_547ad53ea873a91bcfab4f3ddb3d8c9fa,true,false,false,true,true,false,true,true,true,false
USER_545c2a35c8570db99c9c9da1b0290bc3a,false,false,true,false,true,false,false,false,false,false
USER_71d19b0b9d99b77e96aaa1cb9cbceaaad,false,true,false,false,true,true,true,false,true,true
USER_63a4c098b878c4c700bafca12c49dcbdc,true,true,false,true,true,false,true,false,true,false
USER_db930c9acbd92a97892d62bb35badbc9c,false,false,false,false,false,true,true,false,true,true
USER_cd9cdaab6b8c4c9dbae9bac2cc6bcdb6b,true,false,true,true,false,false,false,true,false,true
USER_299da5facd8dbd0d5d46dcea28ab548ba,false,false,true,true,false,true,true,false,true,false
USER_98db93b09bca99c9d9dc9191d9c0b56b4,true,false,true,false,true,true,false,false,false,false
USER_9cdb8cba9addc9bac9dd0da0b3db6b315,false,false,true,false,true,true,true,false,false,false
USER_83ab3a9dab93c2b8a9cba91dbb4153505,true,false,false,false,true,true,false,true,false,false
USER_2a59ba39dd0a20bbbdceaadb3ad2df9b2,false,false,true,false,true,true,false,true,true,true
USER_e8ba819aba993aa938bddc7cb5dbab835,false,false,false,true,true,true,false,true,false,false
USER_e8a1dc4df49d86acbbcdb298ccba6cb08,true,false,true,false,false,false,false,false,false,true
USER_8c9b427cedbb69fed9dd6f3d69c14f991,true,true,false,true,false,false,false,false,true,true
USER_5acedeb978ad5b89aaddf99c5970a8580,true,false,false,true,true,false,true,true,false,true
USER_f6cdc9bbb8cda998a19fdeea9aabb7599,true,true,true,true,false,true,false,true,true,false
USER_0fc9faa919abcd8ddb9d7bd9c886cddbc,true,false,true,false,true,true,true,true,false,true
USER_64b9b94ba29a0779d9d93bc6ae92cd9be,false,true,false,false,false,false,false,false,true,true
USER_59d99effd7b99d8ca98cbdcf7bc9a2dab,true,true,false,false,false,false,true,false,false,false
USER_dca81d2c1aadaa68c8d09b9aacbeda406,true,true,true,false,true,true,false,true,false,true
USER_faea9bbab8ad1d3c39dca65a31db26dc9,true,false,false,true,false,true,false,true,false,false
USER_8d1b2c21c464ba24cf1d880bdcf0dd78b,false,false,true,true,false,true,true,true,true,false
USER_4f5a2a59d9c8983dd589ba37ddd8b6c0e,false,true,false,false,true,true,false,false,false,true
USER_5bb9db1d4aa9651bbcc6b8addebed22b8,false,true,true,false,false,false,false,true,false,false
USER_da9d49b20b5db38931861adbaafd9e289,false,true,false,true,true,false,false,false,true,false
USER_6cd9ba916a82c9bcca24daca7dcdbbcdd,false,false,false,true,true,false,true,false,true,false
USER_48dcab8b4adaba0abedbc95c14a899fd8,true,false,false,false,false,false,false,true,true,false
USER_3f6bf30bb9d1cdbc24d37f8adcbac204b,false,false,true,true,false,true,false,false,true,false
USER_fdabd99da9b5d09c0d1ad8bd9acd90cc2,false,true,true,true,false,true,true,false,true,true
USER_5f5d48583c9a8a968cc3d79cc7c9d0ca2,false,false,false,true,false,true,true,true,true,false
USER_8b2a9799cbc9bfcc32bb8d8c79cb9b7a8,false,true,true,false,true,true,true,true,false,true
USER_01bb669bb76da923cf93461884df2dcde,false,true,false,false,false,false,true,false,false,true
USER_5ad1badb4d15c1a29bc81abc41f4ca306,true,false,false,false,true,false,false,true,true,true
USER_99ecaa88cecb3bbaad5d6dd0cc930fba9,true,true,true,false,false,true,true,false,true,false
